id,user_id,comment_id,note_id,parent_comment_id,label,content,category
1,U_7799,C_718290,P_32637,C_718290,4,特朗普总统这场闹剧，还没有把美国超市货架闹空，不会擅罢干休。,daily
2,U_127366,C_556062,P_32637,C_556062,5,美国人总结了特没谱最后都会怂。,daily
3,U_108329,C_484504,P_32637,C_484504,1,白痴白喝白皮猪小偷小摸小美狗…,daily
4,U_89496,C_439637,P_32637,C_439637,4,征税、不许征税、恢复征税……,daily
5,U_190703,C_211654,P_54790,C_211654,4,欧盟站又站不直，跪又跪不利索,daily
6,U_203546,C_615862,P_54790,C_615862,4,欧盟：我们计划，我们可能，我们准备，我们不得不，我们……… 川普：给欧盟加关税，即刻生效。,daily
7,U_73619,C_47011,P_54790,C_47011,4,看看欧盟能反制出啥东东来,daily
8,U_217951,C_388360,P_54790,C_388360,4,俩又开始过家家了！,daily
9,U_72257,C_28304,P_54790,C_28304,4,要么站着，要么跪着，一直鞠躬是何意啊,daily
10,U_23151,C_165239,P_54790,C_165239,1,拟，一直跪着好吗,daily
11,U_254232,C_281767,P_54790,C_281767,3,支持对等反制措施！,daily
12,U_105403,C_145837,P_54790,C_145837,4,#欧盟拟反制美国# 关税战本来就是一个拉锯扯锯的过程，你不反制只能任特朗普折腾。,daily
13,U_221791,C_301810,P_54790,C_301810,4,全球范围的贸易战，最后是两败俱伤，影响全球的经济发展，美国以一己之力对抗全球#欧盟拟反制美国#【#欧盟准备对美关税采取反制措施#】美国总统特朗普称，本月4日起，将把美国进口钢铁和铝的关税从25%上调至50%。,daily
14,U_206266,C_433514,P_54790,C_433514,1,欧盟这是又跪了吗,daily
15,U_128090,C_339904,P_54790,C_339904,4,#欧盟拟反制美国# 这感觉还处在PK前放狠话的环节，问题是狠话也不够狠,daily
16,U_101100,C_361908,P_54790,C_361908,1,#欧盟拟反制美国# #欧盟准备对美关税采取反制措施# 这都过了多久了，还在“拟”呢。欧盟腰杆挺不起来，永远是个受气的小媳妇,daily
17,U_61150,C_232216,P_54790,C_232216,4,#欧盟拟反制美国#,daily
18,U_252645,C_303307,P_54790,C_303307,1,#欧盟拟反制美国#这就对了，欧盟你要独立自主，别跟个哈巴狗一样舔美帝，做未来多极化的世界成员不是挺好吗？美国霸权想卖你就卖你，何必呢。,daily
19,U_61331,C_791424,P_54790,C_791424,4,又不是真正的，明明是怂的,daily
20,U_212606,C_393750,P_54790,C_393750,4,#欧盟拟反制美国#【#欧盟准备对美关税采取反制措施#】美国总统特朗普称，本月4日起，将把美国进口钢铁和铝的关税从25%上调至50%。对此，欧盟委员会5月31日发表声明，对美国将提高进口钢铝关税表示强烈遗憾，并表示欧盟准备采取反制措施。如果未能达成双方都能接受的方案，欧盟现有和额外的措施将在7月1...全文,daily
21,U_179339,C_383407,P_54790,C_383407,4,欧盟对美国说“不”，看能坚持多久。#欧盟拟反制美国#  #欧盟准备对美关税采取反制措施#,daily
22,U_216959,C_552882,P_54790,C_552882,4,#欧盟拟反制美国# #欧盟准备对美关税采取反制措施#还是要看具体的措施，嘴炮最数假。,daily
23,U_24153,C_607525,P_54790,C_607525,4,这两是啥好东西,daily
24,U_36131,C_318018,P_54790,C_318018,3,支持对等反制措施！,daily
25,U_116428,C_299328,P_54790,C_299328,3,支持对等反制措施,daily
26,U_70607,C_351492,P_54790,C_351492,4,支持对等反制,daily
